,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
28118,40,Other,51,New Zealand,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Desktop development,3.0,3.6
28122,21,False,51,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",8,Web development,6.0,3.8
28125,30,False,5000,United States,Fully employed by a company / organization,Search engines,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,1.0,3.7
28130,30,False,5000,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,6.0,3.7
28132,21,False,11,India,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Unknown,3.0,3.7
28136,40,False,51,France,Fully employed by a company / organization,Search engines,Weekly,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",5,Web development,11.0,3.8
28140,21,True,2,India,Partially employed by a company / organization, Online learning platform / Online course,Daily,Other,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.7
28142,30,False,51,India,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",8,Web development,6.0,3.7
28143,40,True,2,India,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Technical review / Forum / Blog,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"No,  I only work on one project",2,Software prototyping,11.0,3.8
28146,30,False,11,Netherlands,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
28150,30,False,11,Israel,Fully employed by a company / organization,I don't remember,Weekly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,Yes – Please list:,8.0,6.0,Python 3_8,"No,  I only work on one project",2,Network programming,11.0,3.8
28153,30,False,2,Ukraine,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
28155,50,False,51,Germany,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"No,  I only work on one project",5,DevOps / System administration / Writing automation scripts,11.0,3.8
28159,40,False,2,United States,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
28161,30,False,51,Australia,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,For work,Yes – Please list:,8.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",2,Unknown,11.0,3.7
28172,21,Other,11,Israel,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,3.0,3.7
28173,30,False,1,Romania,"Self-employed (a person earning income directly from one's own business, trade, or profession)", Online learning platform / Online course,Daily,VS Code,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"No,  I only work on one project",1,Web development,1.0,3.8
28176,21,True,1,India,Working student,Search engines,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_5 or lower,"Yes, I work on one main and several side projects",1,Data analysis,1.0,3.5
28179,21,True,51,Spain,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work as an external consultant or trainer,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Data analysis,3.0,3.8
28182,21,False,1001,Czech Republic,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Other,"No, I use Python as a secondary language",Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"No,  I only work on one project",8,Unknown,3.0,3.8
28183,21,False,51,Nepal,Fully employed by a company / organization,Conference / User Group,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_9,"Yes, I work on one main and several side projects",8,Web development,6.0,3.9
28186,21,False,501,Spain,Fully employed by a company / organization,School / University,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",4,Software prototyping,1.0,3.8
28190,30,False,2,South Africa,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
28200,21,True,11,Germany,Working student, Online learning platform / Online course,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,1.0,3.7
28201,40,False,5000,United States,Fully employed by a company / organization,Other,Daily,Vim,Yes,Work in a team,For work,"No, it has all the features I need",1.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
28203,18,False,2,China,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Programming of web parsers / scrapers / crawlers,1.0,3.8
28205,50,False,5000,United Kingdom,Fully employed by a company / organization, Online learning platform / Online course,Weekly,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",5,Programming of web parsers / scrapers / crawlers,11.0,3.8
28212,21,False,5000,Israel,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Network programming,1.0,3.7
28213,21,False,51,Netherlands,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,1.0,3.7
28215,21,False,501,France,Working student,Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Web development,3.0,3.7
28216,50,True,2,Switzerland,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Conference / User Group,Daily,Jupyter Notebook,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",8.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,11.0,3.7
28218,50,False,5000,United Kingdom,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,11.0,3.7
28219,40,False,1001,Czech Republic,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Software prototyping,11.0,3.8
28220,30,False,11,Germany,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on many different projects",8,Programming of web parsers / scrapers / crawlers,6.0,3.7
28228,50,True,1,Finland,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",1,Web development,11.0,3.8
